Alt(km)	0N	15N	30N	45N	60N	75N	90N
0	1.1716	1.1857	1.2113	1.2678	1.3116	1.3884	1.4297
2	0.96565	0.97223	0.98903	1.0117	1.0375	1.0635	1.0745
4	0.78992	0.79159	0.80172	0.8134	0.81648	0.84225	0.84831
6	0.64096	0.64388	0.64947	0.65615	0.65709	0.66274	0.66313
8	0.51728	0.52202	0.52446	0.52336	0.52213	0.51557	0.51285
10	0.41737	0.41823	0.41832	0.41224	0.39711	0.37924	0.37669
12	0.33219	0.33066	0.32908	0.31158	0.29216	0.27756	0.2747
14	0.26032	0.25754	0.24578	0.22808	0.21499	0.20475	0.20262
16	0.19726	0.19299	0.18223	0.167	0.15823	0.15106	0.14947
18	0.14115	0.13954	0.13288	0.12229	0.11648	0.11147	0.11029
20	0.009725	0.095265	0.093798	0.089578	0.085768	0.082281	0.081399
22	0.067816	0.066002	0.066703	0.065625	0.063162	0.060742	0.060084
24	0.047828	0.046845	0.047883	0.047676	0.046523	0.04485	0.04426
26	0.034092	0.03393	0.034617	0.034649	0.034129	0.033122	0.032438
28	0.024585	0.024733	0.025195	0.025294	0.024976	0.024465	0.023849
30	0.017923	0.01814	0.018456	0.018516	0.018336	0.017839	0.017589
32	0.013165	0.013383	0.013603	0.01354	0.013391	0.013068	0.013011
34	0.0009741	0.0009929	0.0010092	0.0009968	0.0009836	0.0009621	0.0009631
36	0.0072575	0.0074043	0.00753	0.0073817	0.007255	0.0071172	0.0071019
38	0.0054428	0.0055315	0.0056476	0.0054858	0.005374	0.0052896	0.00527
40	0.0041077	0.0041592	0.0042575	0.0041059	0.0040089	0.0039134	0.0039347
42	0.0031189	0.0031468	0.0032253	0.0031075	0.0030108	0.0029155	0.002955
44	0.0024044	0.0024043	0.0024632	0.0023692	0.0022758	0.0021882	0.0022319
46	0.0018624	0.0018595	0.001889	0.0018139	0.0017371	0.001654	0.0016949
48	0.0014527	0.0014412	0.0014582	0.0014007	0.0017371	0.001654	0.0016949
50	0.0011352	0.0011262	0.001136	0.0010933	0.0010396	0.0009812	0.0010104
52	0.00089597	0.00088794	0.00088895	0.00086128	0.00081322	0.00076739	0.00007872
54	0.00070759	0.00070044	0.00070239	0.0006814	0.00064353	0.00060473	0.00061347
