Alt(km)	0N	15N	30N	45N	60N	75N	90N
0	1.1761	1.1891	1.2363	1.3013	1.3742	1.4244	1.491
2	0.96636	0.9723	0.99321	1.0357	1.059	1.0711	1.0854
4	0.78839	0.78982	0.81234	0.827	0.83466	0.8481	0.84962
6	0.63834	0.64218	0.65793	0.66018	0.66507	0.66428	0.66028
8	0.51518	0.52127	0.52712	0.52114	0.52286	0.51417	0.5074
10	0.41779	0.4182	0.41727	0.40631	0.38811	0.38185	0.37553
12	0.33404	0.33114	0.32591	0.29928	0.28353	0.27984	0.27457
14	0.26276	0.25835	0.2431	0.32009	0.20717	0.20452	0.2002
16	0.19873	0.19567	0.17992	0.16165	0.15172	0.14905	0.14674
18	0.14185	0.14158	0.13073	0.11859	0.11126	0.10832	0.10692
20	0.009761	0.096547	0.091885	0.086716	0.081486	0.078497	0.077432
22	0.067966	0.066802	0.065057	0.063254	0.059605	0.05651	0.054786
24	0.047853	0.047721	0.046425	0.046148	0.043545	0.040226	0.038768
26	0.034046	0.034372	0.033411	0.033675	0.031592	0.028697	0.027438
28	0.024462	0.024921	0.024296	0.024375	0.022814	0.020517	0.019256
30	0.017766	0.018183	0.01776	0.017546	0.016522	0.014615	0.013392
32	0.013103	0.013348	0.013015	0.012715	0.012	0.0104	0.093378
34	0.009715	0.009857	0.009582	0.009272	0.00874	0.007448	0.006584
36	0.0072401	0.0072933	0.0070967	0.0067763	0.0063791	0.0053685	0.0046932
38	0.0053993	0.0054221	0.0052832	0.0049797	0.0046657	0.0038925	0.0033786
40	0.0040487	0.0040598	0.0039559	0.0036876	0.0034235	0.0028388	0.0024805
42	0.0030546	0.0030605	0.0029787	0.0027508	0.0024799	0.0020819	0.0018316
44	0.0023182	0.0023396	0.0022549	0.0020662	0.00181	0.0015352	0.0013589
46	0.0017692	0.0017981	0.0017174	0.0015752	0.0013411	0.0011379	0.0010128
48	0.001376	0.0013906	0.0013334	0.0012119	0.0010088	0.0008477	0.0007582
50	0.0010753	0.0010856	0.0010354	0.0009399	0.0007615	0.0006347	0.00057
52	0.00084906	0.00085422	0.00081503	0.0007374	0.00058134	0.00047744	0.00004338
54	0.0006709	0.00067568	0.00064162	0.00058169	0.00044471	0.00036259	0.00033209
