Alt(km)	0N	15N	30N	45N	60N	75N	90N
0	1.1797	1.1751	1.1717	1.2003	1.2252	1.2778	1.2919
2	0.97077	0.96694	0.97103	0.978	0.9987	1.0032	1.012
4	0.79287	0.78986	0.79314	0.79946	0.80757	0.81533	0.81528
6	0.64239	0.64017	0.64266	0.64769	0.6512	0.65568	0.65576
8	0.51594	0.51685	0.5214	0.52145	0.52231	0.5212	0.52124
10	0.41775	0.41875	0.41827	0.41502	0.41345	0.39747	0.39519
12	0.33352	0.33444	0.33109	0.32612	0.30546	0.29399	0.29076
14	0.26191	0.26275	0.25823	0.2458	0.2257	0.21773	0.21645
16	0.19556	0.19493	0.19214	0.17932	0.16679	0.16192	0.16116
18	0.13723	0.1373	0.13521	0.13021	0.12329	0.12043	0.12001
20	0.009525	0.095976	0.095807	0.094313	0.091149	0.089601	0.08939
22	0.066925	0.06778	0.06838	0.068564	0.067399	0.066671	0.066592
24	0.047926	0.048334	0.049144	0.050062	0.049463	0.049618	0.049518
26	0.034691	0.035029	0.035556	0.036673	0.036143	0.036569	0.036647
28	0.025265	0.025552	0.025891	0.026835	0.026556	0.026803	0.027081
30	0.018509	0.018743	0.018969	0.019638	0.019598	0.019781	0.020097
32	0.013637	0.013823	0.013981	0.01446	0.014495	0.014694	0.014975
34	0.010103	0.010248	0.010363	0.010712	0.010791	0.010985	0.011062
36	0.0075248	0.0076366	0.0077248	0.0079815	0.0080839	0.0082646	0.0082372
38	0.0056332	0.0057168	0.0057779	0.0059797	0.0050918	0.0062554	0.0061828
40	0.0042381	0.0042984	0.0043456	0.004504	0.0046169	0.0047601	0.0046763
42	0.0032037	0.0032475	0.0032867	0.00341	0.0035184	0.003641	0.003582
44	0.0024293	0.002465	0.0025144	0.0025946	0.0026955	0.0027989	0.0027782
46	0.0018493	0.0018795	0.0019321	0.0019836	0.0020908	0.0021619	0.0021604
48	0.0014275	0.001445	0.0014931	0.0015315	0.0016358	0.0017007	0.0016911
50	0.0011125	0.001125	0.0011632	0.0011971	0.001285	0.0013408	0.0013332
52	0.00087481	0.00088047	0.00091197	0.0009367	0.0001015	0.00010572	0.00010511
54	0.00068831	0.00069145	0.00071504	0.00074642	0.00080867	0.00083501	0.00082891
