Alt(km)	0N	15N	30N	45N	60N	75N	90N
0	1.1769	1.1816	1.2063	1.2474	1.2795	1.3385	1.3981
2	0.96821	0.96775	0.98598	1.0122	1.024	1.0425	1.0617
4	0.79068	0.79044	0.80015	0.8181	0.81419	0.83111	0.84294
6	0.64329	0.64133	0.64897	0.65738	0.65407	0.66134	0.66221
8	0.52053	0.51764	0.52471	0.5227	0.51931	0.51955	0.51425
10	0.41652	0.4179	0.41912	0.41081	0.40696	0.38648	0.37877
12	0.33261	0.33274	0.33023	0.31874	0.2986	0.28327	0.27569
14	0.26135	0.2608	0.25021	0.23246	0.21912	0.20766	0.20434
16	0.19701	0.19722	0.18579	0.16946	0.16082	0.15226	0.15107
18	0.13779	0.1381	0.13313	0.12356	0.11821	0.11252	0.1114
20	0.009524	0.095802	0.093893	0.090114	0.087162	0.082945	0.081936
22	0.066793	0.067278	0.066771	0.065238	0.064173	0.06098	0.060101
24	0.047657	0.048169	0.048106	0.047364	0.04679	0.044711	0.043964
26	0.034279	0.034765	0.034862	0.034493	0.034076	0.032395	0.031819
28	0.024848	0.025268	0.025398	0.025196	0.024879	0.023289	0.023031
30	0.018144	0.018489	0.018599	0.01846	0.018208	0.016807	0.016673
32	0.013343	0.013617	0.013687	0.013512	0.013358	0.012175	0.011889
34	0.009885	0.010091	0.010122	0.00989	0.00976	0.008852	0.008528
36	0.0073687	0.0075165	0.0074956	0.0072803	0.0071469	0.0064248	0.006155
38	0.0055256	0.0056298	0.0055731	0.0053888	0.005262	0.0046616	0.0044688
40	0.0041672	0.0042419	0.0041689	0.0040101	0.0038948	0.003408	0.0032409
42	0.0031613	0.0032145	0.0031366	0.0029879	0.0028883	0.0025095	0.0023687
44	0.0024237	0.0024664	0.0023732	0.0022277	0.0021543	0.0018607	0.001745
46	0.0018643	0.0019011	0.0018063	0.0016837	0.0016164	0.0013888	0.0012952
48	0.0014467	0.0014728	0.0013971	0.0012809	0.0012197	0.0010431	0.0009767
50	0.0011295	0.0011498	0.0010869	0.0009928	0.0009386	0.0007882	0.0007482
52	0.00089199	0.00091029	0.000858	0.00077661	0.00072462	0.00060836	0.00005732
54	0.00070493	0.00072119	0.0006774	0.000614	0.00056554	0.00047098	0.0004393
