Alt(km)	0N	15N	30N	45N	60N	75N	90N
0	1009.5	1011.4	1015.9	1015.9	1013.4	1016.9	1020.5
2	801.04	800.9	801.08	793.27	783.74	778.18	777.72
4	629.97	628.99	626.4	615.65	602.65	592.01	589.56
6	490.65	489.4	485.18	472.16	458.6	444.89	441.81
8	378.1	375.89	370.79	357.12	343.44	329.82	326.96
10	287.2	284.44	279.01	265.96	253.23	242.28	239.96
12	214.37	211.67	206.33	195.11	186.31	178.59	176.75
14	156.86	154.57	150.6	142.83	137.09	131.74	130.37
16	11.243	11.081	10.917	10.457	10.09	9.72	9.617
18	79.466	78.573	78.633	76.583	74.282	71.729	70.967
20	56.576	56.017	56.791	56.094	54.693	52.942	52.374
22	40.725	40.537	41.336	41.095	40.277	39.083	38.66
24	29.619	29.721	30.303	30.144	29.667	28.857	28.544
26	21.751	21.952	22.361	22.204	21.863	21.311	21.123
28	16.118	16.311	16.604	16.425	16.156	15.741	15.68
30	12.035	12.189	12.404	12.2	11.976	11.656	11.674
32	9.0499	9.1598	9.3203	9.1144	0.8917	0.8672	0.8718
34	6.8505	6.9201	7.0416	6.8516	6.6787	6.4835	6.5297
36	5.2189	5.255	5.3475	5.1817	5.0313	4.8691	4.9156
38	4.0001	4.0135	4.0811	3.9442	3.8154	3.6729	3.7226
40	3.084	3.0837	3.1296	3.022	2.9122	2.7863	2.8353
42	2.3909	2.3829	2.411	2.329	2.2367	2.1288	2.1714
44	0.18616	0.18513	0.1865	0.18025	0.17281	0.16375	0.16717
46	0.14525	0.14423	0.14473	0.14006	0.13426	0.12678	0.12935
48	0.11349	0.11259	0.11266	0.10922	0.10466	0.09876	0.10058
50	0.8869	0.8798	0.87773	0.8526	0.81813	0.07722	0.07835
52	0.69254	0.68698	0.68383	0.66521	0.63997	0.6039	0.61049
54	0.53897	0.53482	0.53121	0.51704	0.50026	0.47219	0.47573
