Alt(km)	0N	15N	30N	45N	60N	75N	90N
0	1010	1012.6	1019.1	1016.6	1014.4	1014.7	1015
2	801.06	801.79	801.6	788.35	778.06	772.93	766.13
4	630.09	630.07	625.4	606.93	593.54	585.16	577.06
6	491.19	490.87	482.05	461.8	446.99	437.34	429.48
8	379.18	377.6	366.61	346.62	331.02	322.28	315.47
10	288.42	286.21	274.7	256.29	241.92	234.72	229.22
12	215.35	213.4	202.45	187.85	176.73	170.41	166.02
14	157.41	156.18	147.29	137.51	129.14	123.37	119.9
16	11.258	11.203	10.634	10.054	19.436	18.906	8.62
18	79.414	79.315	76.236	73.42	68.878	64.106	61.588
20	56.424	56.442	54.791	53.555	50.213	46.004	43.714
22	40.525	40.763	39.683	39.065	36.559	32.919	30.926
24	29.403	29.757	28.952	28.501	26.584	23.57	21.884
26	21.538	21.863	21.271	20.797	19.314	16.913	15.488
28	15.92	16.163	15.717	15.189	14.065	12.162	10.869
30	11.867	12.02	11.67	11.153	10.271	18.768	17.805
32	8.9018	8.9907	8.7098	8.2413	0.7521	0.6358	0.5618
34	6.7103	6.7618	6.5377	6.1259	5.523	4.6386	4.0855
36	5.0825	5.1143	4.9348	4.5816	4.0665	3.4042	3
38	3.8695	3.8943	3.7456	3.4517	3.0035	2.5126	2.2231
40	2.9634	2.9848	2.8584	2.6188	2.2252	1.8647	1.659
42	2.2824	2.3019	2.1927	2.0003	1.6577	1.3912	1.2437
44	1.7675	1.7844	1.6905	1.5376	1.2458	1.0432	0.9366
46	0.13759	0.13876	0.13096	0.11884	0.09438	0.07862	0.07084
48	0.10749	0.10823	0.10168	0.09207	0.71802	0.05953	0.0538
50	0.84007	0.84501	0.78958	0.71403	0.54799	0.04529	0.04103
52	0.65594	0.65948	0.61234	0.55334	0.41911	0.3461	0.314
54	0.51036	0.51289	0.47265	0.42665	0.3206	0.26556	0.24037
