Alt(km)	0N	15N	30N	45N	60N	75N	90N
0	1011.4	1010.8	1012.9	1013.5	1009.9	1011.1	1013
2	801.67	801.82	803.23	800.57	792.21	788.03	787.63
4	629.81	630.57	631.1	626.88	615.56	609.94	608.7
6	490.07	491.3	491.12	485.6	473.19	466.02	464.73
8	377.4	378.89	377.68	371.54	358.55	350.98	349.64
10	286.59	287.84	286.18	280.26	267.24	260.77	259.51
12	213.58	214.62	213.29	208.1	197.42	193.55	192.93
14	155.77	156.62	156.03	152.15	145.87	143.84	143.62
16	11.148	11.208	11.204	11.1	10.78	10.697	10.693
18	79.201	79.959	80.491	81.03	79.683	79.568	79.632
20	56.87	57.531	58.235	59.336	58.909	59.195	59.312
22	41.29	41.786	42.42	43.606	43.56	44.046	44.185
24	30.263	30.622	31.103	32.154	32.235	32.78	32.922
26	22.319	22.606	22.948	23.784	23.966	24.419	24.562
28	16.556	16.78	17.034	17.653	17.912	18.295	18.398
30	12.349	12.521	12.717	12.175	13.455	13.795	13.836
32	9.2614	9.3917	9.548	9.8912	1.0167	1.0466	1.0447
34	6.9815	7.079	7.2069	7.4672	7.7286	7.9867	7.9335
36	5.2893	5.3614	5.468	5.6678	5.909	6.1289	6.0713
38	4.0266	4.0794	4.1705	4.3244	4.5428	4.7279	4.6802
40	3.0797	3.1183	3.1982	3.3159	3.5111	3.6654	3.6329
42	2.3661	2.3945	2.4654	2.5549	2.7277	2.8553	2.8376
44	0.1826	0.18468	0.19087	0.19778	0.21294	0.22346	0.2224
46	0.14161	0.14304	0.14819	0.15379	0.16693	0.17567	0.17478
48	0.11028	0.11123	0.11536	0.12008	0.13108	0.13847	0.1377
50	0.85953	0.86599	0.89876	0.93866	0.10297	0.10917	0.10855
52	0.66938	0.6741	0.69986	0.73382	0.80887	0.86086	0.85588
54	0.5197	0.52354	0.54389	0.57211	0.63343	0.67889	0.67492
