Alt(km)	0N	15N	30N	45N	60N	75N	90N
0	1010.7	1011.3	1016.9	1017.5	1010.6	1009.2	1014
2	8014.9	8016.5	8028.6	7966.2	7852.8	7763.9	7752.7
4	630.1	660.36	628.63	618.01	605.64	593.71	588.84
6	490.62	490.91	487.6	473.99	462.13	447.73	441.66
8	377.37	378.26	373.23	358.91	347.55	332.35	326.74
10	286.27	287.23	281.35	267.97	257.2	243.68	239.37
12	213.47	214.27	208.47	196.97	188.7	178.6	175.8
14	155.81	156.64	152.16	143.56	138.47	130.93	129.13
16	11.128	11.205	10.974	10.466	10.163	9.6	9.46
18	78.791	79.611	78.713	76.313	74.607	70.305	69.124
20	56.412	57.136	56.849	55.654	54.712	51.35	50.37
22	40.858	41.464	41.378	40.651	40.062	37.403	36.603
24	29.857	30.364	30.315	29.783	29.321	27.169	26.524
26	21.982	22.389	22.325	21.886	21.509	19.695	19.194
28	16.3	16.617	16.525	16.131	15.817	14.318	13.893
30	12.17	12.411	12.291	11.923	11.659	10.448	10.058
32	9.1464	9.3262	9.1856	8.8406	0.8614	0.7652	0.7303
34	6.9158	7.0486	6.8961	6.5885	6.3843	5.6244	5.3358
36	5.2595	5.3575	5.202	4.9367	4.7562	4.15	3.9211
38	4.0221	4.0956	3.9467	3.7183	3.5616	3.0827	2.8978
40	3.0923	3.1483	3.0113	2.8147	2.6804	2.3059	2.1556
42	2.3896	2.433	2.31	2.1415	2.0279	1.7365	1.6158
44	0.1854	0.18884	0.17813	0.16408	0.15431	0.13161	0.12201
46	0.14429	0.14695	0.13805	0.12654	0.11807	0.10035	0.09277
48	0.1126	0.11463	0.10734	0.09808	0.90823	0.07697	0.07097
50	0.87921	0.89499	0.8351	0.76277	0.70097	0.05937	0.05437
52	0.6858	0.69786	0.64881	0.59319	0.54112	0.45954	0.41658
54	0.53285	0.54152	0.50155	0.45962	0.41744	0.35576	0.31923
