Alt(km)	0N	15N	30N	45N	60N	75N	90N
0	300.15	297.15	292.15	279.15	269.15	255.15	248.65
2	288.98	286.97	282.16	273.15	263.14	254.88	252.12
4	277.82	276.81	272.19	263.66	257.13	244.86	242.11
6	266.67	264.78	260.24	250.68	243.13	233.85	232.1
8	254.63	250.85	246.29	237.71	229.14	222.85	222.09
10	239.71	236.92	232.35	224.75	222.15	222.56	221.91
12	224.81	223	218.42	218.15	222.15	224.15	224.15
14	209.91	209.09	213.47	218.15	222.15	224.15	224.15
16	198.56	200.02	208.69	218.15	222.15	224.15	224.15
18	196.12	196.15	206.15	218.15	222.15	224.15	224.15
20	202.66	204.84	210.92	218.15	222.15	224.15	224.15
22	209.2	213.96	215.88	218.15	222.15	224.15	224.15
24	215.74	221.02	220.46	220.26	222.15	224.15	224.66
26	222.27	225.38	225.02	223.24	223.17	224.15	226.85
28	228.39	229.73	229.57	226.21	225.35	224.15	229.04
30	233.93	234.08	234.13	229.54	227.53	227.61	231.23
32	239.46	238.43	238.68	234.49	231.97	231.97	233.41
34	244.98	242.77	243.05	239.44	236.53	234.76	236.16
36	250.51	247.24	247.39	244.54	241.59	238.33	241.12
38	256.03	252.77	251.73	250.47	247.33	241.89	246.08
40	261.54	258.28	256.07	256.4	253.07	248.03	251.03
42	267.06	263.8	260.41	261.09	258.8	254.36	255.98
44	269.72	268.24	263.77	265.04	264.53	260.69	260.93
46	271.69	270.21	266.92	268.08	269.24	267.02	265.87
48	272.15	272.15	269.15	271.65	272.2	273.34	270.15
50	272.15	272.15	269.15	271.65	274.15	274.15	270.15
52	269.27	269.52	267.98	269.06	274.15	274.15	270.15
54	265.35	265.99	263.46	264.34	270.8	272.01	270.15
