Alt(km)	0N	15N	30N	45N	60N	75N	90N
0	299.15	296.65	287.15	272.15	257.15	248.15	237.15
2	288.78	287.27	281.16	265.15	255.94	251.37	245.88
4	278.41	277.9	268.2	255.66	247.73	240.36	236.61
6	268.06	266.28	255.24	243.68	234.13	229.35	226.6
8	256.4	252.35	242.28	231.71	220.54	218.35	216.59
10	240.49	238.42	229.34	219.74	217.15	214.14	212.64
12	224.58	224.5	216.4	218.65	217.15	212.14	210.64
14	208.69	210.59	211.08	217.66	217.15	210.14	208.63
16	197.34	199.46	205.91	216.67	216.66	208.15	204.64
18	195.03	195.15	203.15	215.67	215.66	206.16	200.65
20	201.37	203.65	207.73	215.15	214.66	204.16	196.67
22	207.71	212.57	212.49	215.15	213.67	202.93	196.65
24	214.05	217.22	217.25	215.15	212.68	204.12	196.65
26	220.38	221.58	221.79	215.15	212.98	205.32	196.65
28	226.71	225.93	225.36	217.08	214.77	206.51	196.65
30	232.7	230.28	228.92	221.44	216.55	209	203.04
32	236.65	234.63	233.13	225.79	218.34	212.97	209.59
34	240.6	238.97	237.67	230.15	220.12	216.94	216.14
36	244.55	244.29	242.24	235.54	222.07	220.9	222.69
38	249.66	250.2	246.98	241.47	224.25	224.86	229.23
40	254.98	256.12	251.71	247.4	226.43	228.82	232.98
42	260.3	262.02	256.45	253.32	232.87	232.78	236.55
44	265.61	265.7	261.17	259.24	239.78	236.74	240.11
46	270.92	268.84	265.65	262.82	245.16	240.69	243.67
48	272.15	271.15	265.65	264.65	247.93	244.64	247.22
50	272.15	271.15	265.65	264.65	250.69	248.59	250.78
52	269.12	268.95	261.73	261.41	251.15	252.53	252.15
54	265.01	264.43	256.62	255.51	251.15	255.15	252.15
