Alt(km)	0N	15N	30N	45N	60N	75N	90N
0	298.65	299.65	301.15	294.15	287.15	275.65	273.15
2	287.68	288.87	288.16	285.15	276.34	273.62	271.12
4	276.72	278.11	277.19	273.16	265.53	260.6	260.09
6	265.77	267.35	266.22	261.18	253.13	247.59	246.88
8	254.82	255.38	252.29	248.21	239.14	234.59	233.67
10	238.99	238.46	238.35	235.25	225.17	228.55	228.76
12	223.08	223.55	224.42	222.29	225.15	229.35	231.15
14	207.19	207.65	210.49	215.65	225.15	230.15	231.15
16	198.59	200.3	203.15	215.65	225.15	230.15	231.15
18	201.05	202.87	207.38	216.78	225.15	230.15	231.15
20	207.99	208.82	211.75	219.17	225.15	230.15	231.15
22	214.92	214.76	216.11	221.55	225.15	230.15	231.15
24	219.97	220.71	220.47	223.75	227.03	230.15	231.15
26	224.13	224.81	224.83	225.93	231	232.62	233.48
28	228.28	228.77	229.19	229.16	234.97	237.79	236.67
30	232.43	232.72	233.55	233.72	239.18	242.95	239.84
32	236.58	236.68	237.9	238.28	244.33	248.12	243.02
34	240.72	240.63	237.9	238.28	244.33	248.12	249.82
36	244.87	244.57	246.59	247.38	254.64	258.64	256.76
38	249.01	248.59	251.45	251.93	259.78	263.29	263.7
40	253.14	252.78	256.38	256.47	264.83	268.24	270.63
42	257.28	256.86	261.31	261.01	270.07	273.19	275.9
44	261.84	260.99	264.44	265.55	275.2	278.14	278.86
46	266.76	265.13	267.19	270.09	278.13	283.08	281.83
48	269.15	268.15	269.15	273.15	279.15	283.65	283.65
50	269.15	268.15	269.15	273.15	279.15	283.65	283.65
52	266.56	266.71	267.34	272.91	277.6	283.65	283.65
54	263.03	263.77	264.98	267.01	272.87	283.23	283.65
