Alt(km)	0N	15N	30N	45N	60N	75N	90N
0	299.15	298.15	293.65	284.15	275.1!5	262.65	252.65
2	288.38	288.57	283.66	274.15	267.14	259.44	254.37
4	277.62	277.81	273.69	263.16	259.13	248.85	243.35
6	265.69	266.66	261.74	251.18	246.13	235.84	232.34
8	252.55	254.56	247.79	239.21	233.14	222.84	221.34
10	239.43	239.44	233.85	227.24	220.16	219.65	220.16
12	223.58	224.33	219.92	215.28	220.15	219.65	222.14
14	207.69	209.23	211.85	215.15	220.15	219.65	220.14
16	196.77	197.92	203.89	215.15	220.15	219.65	218.14
18	199.19	200.82	203.65	215.15	219.86	217.66	216.15
20	206.33	207.76	205.96	215.15	218.67	215.66	214.16
22	213.09	214.7	210.92	217.07	217.47	213.67	212.16
24	218.24	219.59	215.88	219.06	218.3	211.68	210.17
26	223.39	224.35	219.52	221.04	219.89	211.79	210.15
28	228.53	229.09	223.09	223.02	221.48	214.17	210.15
30	233.67	223.84	226.66	225	223.06	216.56	210.15
32	238.78	238.58	230.22	227.91	224.65	218.94	210.15
34	243.72	243.32	233.78	232.07	227.87	221.32	213.99
36	248.65	248.3	237.34	236.22	231.83	225.02	217.96
38	253.58	253.43	241.77	240.37	235.79	230.37	221.93
40	258.5	258.55	246.7	244.52	339.75	235.71	225.89
42	263.32	263.67	251.63	249.68	244.59	241.06	231.71
44	266.47	266.72	256.56	256.59	249.53	246.4	237.65
46	269.62	269.28	261.49	261.82	254.47	251.73	243.58
48	271.15	271.15	266.25	266.75	259.4	257.06	249.51
50	271.15	271.15	267.65	267.65	260.15	262.39	253.15
52	267.84	267.07	267.65	266.08	260.15	263.15	253.15
54	263.33	261.57	263.43	260.77	257.14	263.15	253.15
